,STATION,LINENAME,LAT,LON,SYSTEM,NET_ENTRIES,CROWD_INDEX
408,88 ST,A,40.679857,-73.851492,MTA,215329.0,4.938288595391521
409,AQUEDUCT RACETR,A,40.668221,-73.834026,MTA,212521.0,4.921707550439752
410,VAN SICLEN AV,3,40.665405,-73.889451,MTA,210835.0,4.9116462471418645
411,HEWES ST,JM,40.706994,-73.953481,MTA,209109.0,4.90126255149549
412,LIBERTY AV,C,40.674552,-73.896554,MTA,206114.0,4.883039418254149
413,PELHAM PKWY,5,40.858973,-73.855355,MTA,204063.0,4.870406663371545
414,FLUSHING AV,G,40.700374,-73.950284,MTA,203034.0,4.864020816626805
415,VAN SICLEN AV,JZ,40.678018,-73.891726,MTA,202227.0,4.858989989535836
416,BAY 50 ST,D,40.588879,-73.983629,MTA,201982.0,4.857458689642442
417,111 ST,A,40.684364,-73.832181,MTA,195017.0,4.813130870435746
418,ZEREGA AV,6,40.83646,-73.846471,MTA,194113.0,4.80726172878032
419,BEACH 90 ST,AS,40.588032,-73.813684,MTA,193596.0,4.803892852889598
420,AVENUE U,N,40.597482,-73.979359,MTA,190777.0,4.785363933872818
421,111 ST,J,40.697405,-73.836354,MTA,190175.0,4.781371601515154
422,SENECA AVE,M,40.702798,-73.907776,MTA,184393.0,4.742370038875807
423,BUSHWICK AV,L,40.682558,-73.905501,MTA,173310.0,4.664067854768988
424,ALABAMA AV,J,40.677107,-73.898871,MTA,169299.0,4.634489512431506
425,MORRIS PARK,5,40.854137,-73.860977,MTA,165735.0,4.607613471775648
426,86 ST,N,40.592676,-73.978243,MTA,155478.0,4.526913197320111
427,55 ST,D,40.631412,-73.995473,MTA,154104.0,4.515700399881021
428,JUNIUS ST,3,40.663419,-73.902454,MTA,153329.0,4.509331678741239
429,BEACH 67 ST,A,40.590867,-73.797011,MTA,151405.0,4.493380601425126
430,MIDDLETOWN RD,6,40.843635,-73.836687,MTA,149179.0,4.4746708794537895
431,WHITLOCK AV,6,40.826508,-73.886425,MTA,144669.0,4.435892647739058
432,AVENUE N,F,40.615174,-73.974166,MTA,144056.0,4.430528795186864
